,at_least_6_or_at_most_2_accuracy,at_least_6_or_at_most_2_loss,at_most_3_accuracy,at_most_3_loss,loss,steps,total_F1,total_accuracy
655,0.8578183650970459,0.33372318744659424,0.9718990921974182,0.13084739446640015,0.2325340360403061,6550,0.9184096455574036,0.9147188663482666
656,0.8601011037826538,0.33033129572868347,0.9709159135818481,0.13241854310035706,0.2316175103187561,6560,0.9195197224617004,0.9153726696968079
657,0.8601011037826538,0.3296146094799042,0.971243679523468,0.13379302620887756,0.23194381594657898,6570,0.9197810888290405,0.915536105632782
658,0.8603456616401672,0.3293115794658661,0.9710798263549805,0.13143643736839294,0.23061655461788177,6580,0.9196546077728271,0.9155769944190979
659,0.8590412735939026,0.33083274960517883,0.9693593382835388,0.13210971653461456,0.23171482980251312,6590,0.9175843000411987,0.9140650629997253
660,0.8567585349082947,0.33382558822631836,0.9610847234725952,0.14292730391025543,0.2386104315519333,6600,0.9117019176483154,0.9087937474250793
661,0.859285831451416,0.33002814650535583,0.9579715132713318,0.14712415635585785,0.23880037665367126,6610,0.9113372564315796,0.9085077047348022
662,0.8623838424682617,0.32596659660339355,0.9694412350654602,0.13275425136089325,0.22959721088409424,6620,0.919545590877533,0.9157813191413879
663,0.8586336374282837,0.33160537481307983,0.9713255763053894,0.13803619146347046,0.23505805432796478,6630,0.9200000166893005,0.9148414731025696
664,0.8618131279945374,0.32619211077690125,0.9723086953163147,0.13001368939876556,0.22834345698356628,6640,0.9208117723464966,0.9169254899024963
665,0.8570030927658081,0.3317565619945526,0.9689496755599976,0.13316425681114197,0.23270373046398163,6650,0.9162182211875916,0.9128391742706299
666,0.8583890199661255,0.3273620307445526,0.9706701636314392,0.13142545521259308,0.22963391244411469,6660,0.9180135726928711,0.9143919348716736
667,0.8623838424682617,0.32334864139556885,0.9715713858604431,0.13318972289562225,0.2285022735595703,6670,0.9211148619651794,0.9168437123298645
668,0.8622207641601562,0.3233363628387451,0.971817135810852,0.13495485484600067,0.2293766289949417,6680,0.9213335514068604,0.9168846011161804
669,0.8620577454566956,0.32298997044563293,0.9716532826423645,0.13244813680648804,0.22795246541500092,6690,0.9210078120231628,0.9167211651802063
670,0.8620577454566956,0.32314610481262207,0.9717352390289307,0.13178935647010803,0.22770220041275024,6700,0.920957624912262,0.9167619943618774
671,0.8608348369598389,0.3249202072620392,0.9723086953163147,0.13535098731517792,0.23036791384220123,6710,0.9211915135383606,0.9164351224899292
672,0.8613240122795105,0.32485970854759216,0.9723086953163147,0.1317463219165802,0.22853969037532806,6720,0.9212771654129028,0.9166802763938904
673,0.8627914786338806,0.32355496287345886,0.9723086953163147,0.1289244443178177,0.2264782041311264,6730,0.9213526844978333,0.9174157977104187
674,0.8589597344398499,0.3278752565383911,0.9710798263549805,0.13023269176483154,0.22929617762565613,6740,0.9184065461158752,0.9148823022842407
675,0.8605902791023254,0.3246927261352539,0.9707520604133606,0.12997683882713318,0.2275734543800354,6750,0.9191092848777771,0.915536105632782
676,0.8583075404167175,0.3270871341228485,0.9651810526847839,0.13579000532627106,0.23167316615581512,6760,0.9147855043411255,0.9116132855415344
