,at_least_4_accuracy,at_least_4_loss,at_least_6_or_at_most_2_accuracy,at_least_6_or_at_most_2_loss,loss,steps,total_F1,total_accuracy
1880,0.9959231019020081,0.020551662892103195,0.9738924503326416,0.2954919934272766,0.1593695431947708,18800,0.9849638938903809,0.9847998023033142
1881,0.995590329170227,0.02059016562998295,0.9671208262443542,0.29519012570381165,0.15923622250556946,18810,0.9815040230751038,0.9812160134315491
1882,0.995590329170227,0.020755888894200325,0.9765031933784485,0.2944938838481903,0.15896674990653992,18820,0.9861003160476685,0.9859532117843628
1883,0.9965055584907532,0.020316749811172485,0.9864566922187805,0.29523518681526184,0.15912362933158875,18830,0.9914634823799133,0.9914318919181824
1884,0.9962559342384338,0.02109113149344921,0.9888226985931396,0.29611605405807495,0.15995177626609802,18840,0.9925176501274109,0.9925028681755066
1885,0.9958398938179016,0.02264205925166607,0.9880884289741516,0.29554611444473267,0.1604318916797638,18850,0.9919434189796448,0.9919261932373047
1886,0.9958398938179016,0.022450553253293037,0.9854776859283447,0.2951832711696625,0.1601538211107254,18860,0.9906435012817383,0.9906080365180969
1887,0.9963391423225403,0.020107708871364594,0.9824590086936951,0.29467740654945374,0.15873853862285614,18870,0.989402174949646,0.9893310070037842
1888,0.9956735372543335,0.02092048153281212,0.9805009365081787,0.29567083716392517,0.15964248776435852,18880,0.9881161451339722,0.9880128502845764
1889,0.9956735372543335,0.020925134420394897,0.9715265035629272,0.2953287959098816,0.1594720333814621,18890,0.9837037920951843,0.9834816455841064
1890,0.9952574968338013,0.023505263030529022,0.9605939388275146,0.2956290543079376,0.16090109944343567,18900,0.9781128168106079,0.9777557849884033
1891,0.9915134310722351,0.02839120477437973,0.9637758135795593,0.2959616184234619,0.16348803043365479,18910,0.9777796268463135,0.9775086641311646
1892,0.9965055584907532,0.021171214058995247,0.9661418199539185,0.2949480712413788,0.15940168499946594,18920,0.9814416170120239,0.9811748266220093
1893,0.9956735372543335,0.020366571843624115,0.9720159769058228,0.2951594293117523,0.15911000967025757,18930,0.9839398264884949,0.9837287664413452
1894,0.9956735372543335,0.0202875304967165,0.9813984036445618,0.2952408790588379,0.15911202132701874,18940,0.9885563850402832,0.9884659647941589
1895,0.9965887069702148,0.02078569494187832,0.9816431403160095,0.29439687728881836,0.15893250703811646,18950,0.9891082048416138,0.9890426993370056
1896,0.9956735372543335,0.02078331634402275,0.9823774099349976,0.29541486501693726,0.15944528579711914,18960,0.9890415072441101,0.9889602661132812
1897,0.9953407049179077,0.021087879315018654,0.9840907454490662,0.2956072688102722,0.15969325602054596,18970,0.9897245168685913,0.9896605610847473
1898,0.9968383312225342,0.02074243314564228,0.9860488176345825,0.2951223850250244,0.15927743911743164,18980,0.9914171695709229,0.9913906455039978
1899,0.995590329170227,0.022902101278305054,0.9836828112602234,0.2955586612224579,0.16056695580482483,18990,0.9896136522293091,0.9895781874656677
1900,0.9957567453384399,0.02286319062113762,0.9743819832801819,0.29580384492874146,0.16067147254943848,19000,0.9850977659225464,0.9849645495414734
1901,0.9966719150543213,0.021197179332375526,0.9697315692901611,0.29556894302368164,0.15972797572612762,19010,0.9832729697227478,0.9830697178840637
1902,0.9965887069702148,0.01968258060514927,0.9806641340255737,0.29430100321769714,0.15833798050880432,19020,0.9886345267295837,0.9885483384132385
1903,0.9962559342384338,0.01961546391248703,0.9861303567886353,0.29545801877975464,0.15888893604278564,19030,0.9911873936653137,0.991143524646759
1904,0.9970879554748535,0.02018762193620205,0.9891490340232849,0.2955368459224701,0.1592119336128235,19040,0.9930960536003113,0.9930796027183533
